id,homicidios
1,17
2,2
3,20
4,8
5,10
6,21
7,0
8,18
9,16
10,18
11,0
12,70
13,45
14,17
15,2
16,0
17,53
18,25
19,19
20,11
21,4
22,23
23,17
24,7
25,30
26,5
27,9
28,0
29,1
30,13
31,15
32,46
33,4
34,17
35,11
36,2
37,5
38,5
39,10
40,3
41,4
42,3
43,24
44,6
45,1
46,1
47,7
48,10
49,37
50,0
51,32
52,26
53,0
54,2
55,6
56,10
57,8
58,11
59,57
60,8
61,1
62,31
63,6
64,29
65,10
66,4
67,7
68,3
69,13
70,12
71,1
72,2
73,46
74,47
75,12
76,4
77,6
78,10
79,6
80,7
81,11
82,11
83,0
84,14
85,2
86,0
87,9
88,6
89,8
90,17
91,6
92,0
93,35
94,12
95,1
96,23
97,38
98,30
99,11
100,24
101,25
102,2
103,36
104,4
105,9
106,0
107,0
108,3
109,24
110,13
111,21
112,30
113,2
114,34
115,9
116,6
117,10
118,31
200,6
